	Name	X_1_1	exponent_1_1	X_1_2	exponent_1_2	X_2_1	exponent_2_1	X_2_2	exponent_2_2	dx	dc	dd
0	('dudy^-2_0^0', 'dudy^-1_0^0')	dudy	-2	0	0	dudy	-1	0	0	0.018021972911584257	0.013761367518501297	6.9649025429035175e-06
1	('dudy^-2_0^0', 'dudy^1_0^0')	dudy	-2	0	0	dudy	1	0	0	0.03585249529993545	0.012579506890206128	1.834326001096715e-05
2	('dudy^-2_0^0', 'dudy^2_0^0')	dudy	-2	0	0	dudy	2	0	0	0.04361366587014583	0.01299510605495549	3.5373355388777544e-05
3	('dudy^-2_0^0', 'yplus^-2_0^0')	dudy	-2	0	0	yplus	-2	0	0	0.03891817909838877	0.012658620199242505	1.8696370105168574e-05
4	('dudy^-2_0^0', 'yplus^-1_0^0')	dudy	-2	0	0	yplus	-1	0	0	0.035466727562669706	0.01235922580117641	1.3617966107051344e-05
5	('dudy^-2_0^0', 'yplus^1_0^0')	dudy	-2	0	0	yplus	1	0	0	0.10937696434661359	0.012731387969595795	0.00020396899008725137
6	('dudy^-2_0^0', 'yplus^2_0^0')	dudy	-2	0	0	yplus	2	0	0	0.10528933543123489	0.014505537795316794	0.00026622529941611254
7	('dudy^-2_0^0', 'k^-2_0^0')	dudy	-2	0	0	k	-2	0	0	0.11352147614877599	0.015409050190953696	0.0004915070716867535
8	('dudy^-2_0^0', 'k^-1_0^0')	dudy	-2	0	0	k	-1	0	0	0.10134387539024711	0.015169832200989948	0.00041260015887387955
9	('dudy^-2_0^0', 'k^1_0^0')	dudy	-2	0	0	k	1	0	0	0.06816950438449224	0.01434293807929163	0.0001970880011148431
10	('dudy^-2_0^0', 'k^2_0^0')	dudy	-2	0	0	k	2	0	0	0.05235233677120332	0.014256093253511667	0.0001365026781949683
11	('dudy^-2_0^0', 'eps^-2_0^0')	dudy	-2	0	0	eps	-2	0	0	0.06386867369428753	0.014653691275157334	0.00012403691505780544
12	('dudy^-2_0^0', 'eps^-1_0^0')	dudy	-2	0	0	eps	-1	0	0	0.06041530704589205	0.01388546478554646	8.610375588107671e-05
13	('dudy^-2_0^0', 'eps^1_0^0')	dudy	-2	0	0	eps	1	0	0	0.032688164731221235	0.012642282900174693	1.7823830842241084e-05
14	('dudy^-2_0^0', 'eps^2_0^0')	dudy	-2	0	0	eps	2	0	0	0.03386584926016534	0.012789053067908127	2.2117153833121838e-05
15	('dudy^-2_0^0', 'u^-2_0^0')	dudy	-2	0	0	u	-2	0	0	0.041122864867303266	0.012430550848626997	1.591996361054001e-05
16	('dudy^-2_0^0', 'u^-1_0^0')	dudy	-2	0	0	u	-1	0	0	0.04902841336419281	0.012187825189382063	1.9414464069828793e-05
17	('dudy^-2_0^0', 'u^1_0^0')	dudy	-2	0	0	u	1	0	0	0.08698087007150938	0.011815072314386362	7.29561444470032e-05
18	('dudy^-2_0^0', 'u^2_0^0')	dudy	-2	0	0	u	2	0	0	0.10853932324210203	0.011897553244144859	0.00013111136762730162
19	('dudy^-2_0^0', 'dudy^-2_yplus^-2')	dudy	-2	0	0	dudy	-2	yplus	-2	0.16153909305321462	0.010457468193712766	0.001073986167926072
20	('dudy^-2_0^0', 'dudy^-2_yplus^-1')	dudy	-2	0	0	dudy	-2	yplus	-1	0.10764285690793814	0.01638013251558432	0.00026778311457998526
21	('dudy^-2_0^0', 'dudy^-2_yplus^1')	dudy	-2	0	0	dudy	-2	yplus	1	0.044453620262015776	0.01445302362017791	5.662415873773382e-05
